Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	7	42.8831	-34.8515	83.1462	
1	23	42.8464	-34.9602	83.0782	
1	40	42.8074	-34.9549	83.136	
1	57	42.8226	-34.8596	83.1981	
1	73	42.8019	-34.8803	83.1867	
1	90	42.7688	-34.8359	83.2727	
1	107	42.7365	-34.8349	83.3002	
1	123	42.7283	-34.755	83.357	
1	140	42.7243	-34.7137	83.3358	
1	157	42.6703	-34.8366	83.3741	
1	173	42.6311	-34.7152	83.5022	
1	190	42.5898	-34.7662	83.5285	
1	207	42.5862	-34.7513	83.4878	
1	223	42.5492	-34.7469	83.5951	
1	240	42.5272	-34.7081	83.594	
1	257	42.4867	-34.71	83.6368	
1	273	42.4272	-34.7385	83.6605	
1	290	42.4312	-34.7216	83.697	
1	307	42.4238	-34.6638	83.7167	
1	323	42.3878	-34.5694	83.778	
1	340	42.3128	-34.6724	83.7967	
1	357	42.2562	-34.6484	83.8031	
1	373	42.2516	-34.5798	83.8548	
1	390	42.2151	-34.588	83.8567	
1	407	42.1792	-34.5263	83.9142	
1	423	42.1539	-34.5387	83.9254	
1	440	42.1025	-34.5457	83.9445	
1	457	42.0722	-34.4756	83.9756	
1	473	42.0333	-34.4829	83.9886	
1	490	41.9969	-34.4758	83.9977	
1	507	41.9982	-34.4461	83.9965	
1	523	41.937	-34.4436	83.9912	
1	540	41.9293	-34.4097	83.9961	
1	557	41.8485	-34.5345	84.0361	
1	573	41.8515	-34.4114	83.9856	
1	590	41.8335	-34.4296	84.0916	
1	607	41.8223	-34.461	84.0217	
1	623	41.7187	-34.4921	84.0512	
1	640	41.7588	-34.4726	84.0322	
1	657	41.6762	-34.5601	83.9784	
1	673	41.6846	-34.4354	84.0586	
1	690	41.7241	-34.432	84.017	
1	707	41.6373	-34.4464	84.0073	
1	723	41.6375	-34.5025	83.9656	
1	740	41.6632	-34.4223	83.9377	
1	757	41.5712	-34.4851	83.9783	
1	773	41.5487	-34.4715	83.9374	
1	790	41.598	-34.3692	83.9115	
1	807	41.5291	-34.4191	83.8283	
1	823	41.5837	-34.3433	83.792	
1	840	41.4953	-34.3038	83.8188	
1	857	41.5309	-34.3022	83.7121	
1	873	41.5218	-34.2135	83.7348	
1	890	41.4875	-34.2239	83.6302	
1	907	41.4665	-34.1229	83.6523	
1	923	41.5245	-33.9249	83.5806	
1	940	41.48	-33.8831	83.5543	
1	957	41.4925	-33.7241	83.4876	
1	973	41.4337	-33.6847	83.5357	
1	990	41.4464	-33.5688	83.4035	
1	1007	41.4564	-33.4178	83.3804	
1	1023	41.4696	-33.1821	83.3383	
1	1040	41.4994	-32.9974	83.274	
1	1057	42.8849	-30.2907	81.3681	
1	1073	42.7705	-30.0892	81.3657	
1	1090	42.7632	-29.8037	81.4436	
1	1107	42.7227	-29.6048	81.3418	
1	1123	42.7307	-29.448	81.3136	
